Team                       , FDCOUK               , City                   , Stadium                                       , Capacity, Latitude  , Longitude , Country
Wolverhampton Wanderers    , Wolves               , Wolverhampton          , Molineux Stadium                              ,    27828, 52.590278 , -2.130278 , Inghilterra
Barnsley                   , Barnsley             , Barnsley               , Oakwell                                       ,    23009, 53.552222 , -1.4675   , Inghilterra
Birmingham City            , Birmingham           , Birmingham             , St Andrew's Stadium                           ,    30079, 52.475703 , -1.868189 , Inghilterra
Blackpool                  , Blackpool            , Blackpool              , Bloomfield Road                               ,    16220, 53.804722 , -3.048056 , Inghilterra
Brighton & Hove Albion     , Brighton             , Brighton               , American Express Community Stadium            ,    22374, 50.861822 , -0.083278 , Inghilterra
Bristol City               , Bristol City         , Bristol                , Ashton Gate                                   ,    21497, 51.44     , -2.620278 , Inghilterra
Burnley                    , Burnley              , Burnley                , Turf Moor                                     ,    22546, 53.789167 , -2.230278 , Inghilterra
Cardiff City               , Cardiff              , Cardiff                , Cardiff City Stadium                          ,    26828, 51.472778 , -3.203056 , Inghilterra
Coventry City              , Coventry             , Coventry               , Ricoh Arena                                   ,    32609, 52.448056 , -1.495556 , Inghilterra
Crystal Palace             , Crystal Palace       , London                 , Selhurst Park                                 ,    26309, 51.398333 , -0.085556 , Inghilterra
Derby County               , Derby                , Derby                  , Pride Park Stadium                            ,    33597, 52.915    , -1.447222 , Inghilterra
Doncaster Rovers           , Doncaster            , Doncaster              , Keepmoat Stadium                              ,    15231, 53.509722 , -1.113889 , Inghilterra
Hull City                  , Hull                 , Kingston upon Hull     , KC Stadium                                    ,    25404, 53.746111 , -0.367778 , Inghilterra
Ipswich Town               , Ipswich              , Ipswich                , Portman Road                                  ,    30311, 52.055061 , 1.144831  , Inghilterra
Leeds United               , Leeds                , Leeds                  , Elland Road                                   ,    39460, 53.777778 , -1.572222 , Inghilterra
Leicester City             , Leicester            , Leicester              , King Power Stadium                            ,    32500, 52.620278 , -1.142222 , Inghilterra
Middlesbrough              , Middlesbrough        , Middlesbrough          , Riverside Stadium                             ,    34988, 54.578333 , -1.216944 , Inghilterra
Millwall                   , Millwall             , London                 , The Den                                       ,    20146, 51.485953 , -0.05095  , Inghilterra
Nottingham Forest          , Nott'm Forest        , Nottingham             , City Ground                                   ,    30576, 52.94     , -1.132778 , Inghilterra
Peterborough United        , Peterboro            , Peterborough           , London Road Stadium                           ,    15460, 52.564697 , -0.240406 , Inghilterra
Portsmouth                 , Portsmouth           , Portsmouth             , Fratton Park                                  ,    20224, 50.796389 , -1.063889 , Inghilterra
Reading                    , Reading              , Reading                , Madejski Stadium                              ,    24224, 51.422222 , -0.982778 , Inghilterra
Southampton                , Southampton          , Southampton            , St Mary's Stadium                             ,    32689, 50.905833 , -1.391111 , Inghilterra
Watford                    , Watford              , Watford                , Vicarage Road                                 ,    23500, 51.649836 , -0.401486 , Inghilterra
West Ham United            , West Ham             , London                 , London Stadium                                ,    62500, 51.531944 , 0.039444  , Inghilterra
Livingston and Gretna      , Livingston           , Livingston             , Almondvale Stadium                            ,    10122, 55.886167 , -3.522872 , Scozia
Inverness C.T.             , Inverness C          , Iverness               , Caledonian Stadium                            ,     7918, 57.494722 , -4.2175   , Scozia
Celtic                     , Celtic               , Glasgow                , Celtic Park                                   ,    60832, 55.849711 , -4.205589 , Scozia
Dundee                     , Dundee               , Dundee                 , Dens Park                                     ,    12085, 56.475264 , -2.973194 , Scozia
Dunfermline Athletic       , Dunfermline          , Dunfermline            , East End Park                                 ,    11380, 56.075308 , -3.441906 , Scozia
Hibernian                  , Hibernian            , Edinburgh              , Easter Road                                   ,    20421, 55.961667 , -3.165556 , Scozia
Falkirk                    , Falkirk              , Falkirk                , Falkirk Stadium                               ,     9200, 56.005136 , -3.754269 , Scozia
Motherwell and Gretna      , Motherwell           , Motherwell             , Fir Park                                      ,    13742, 55.779947 , -3.980078 , Scozia
Partick Thistle            , Partick              , Glasgow                , Firhill Stadium                               ,    10887, 55.881556 , -4.269639 , Scozia
Rangers                    , Rangers              , Glasgow                , Ibrox Stadium                                 ,    51082, 55.853206 , -4.309258 , Scozia
St. Johnstone              , St Johnstone         , Perth                  , McDiarmid Park                                ,    10673, 56.409686 , -3.476928 , Scozia
Hamilton Academical        , Hamilton             , Hamilton               , New Douglas Park                              ,     6078, 55.782156 , -4.058503 , Scozia
Aberdeen and Inverness C.T., Aberdeen             , Aberdeen               , Pittodrie Stadium                             ,    22199, 57.159167 , -2.088889 , Scozia
Kilmarnock                 , Kilmarnock           , Kilmarnock             , Rugby Park                                    ,    18128, 55.604225 , -4.508122 , Scozia
St. Mirren                 , St Mirren            , Paisley                , St. Mirren Park                               ,     8016, 55.850556 , -4.443889 , Scozia
Dundee United              , Dundee United        , Dundee                 , Tannadice Park                                ,    14209, 56.474703 , -2.968961 , Scozia
Heart of Midlothian        , Hearts               , Edinburgh              , Tynecastle Stadium                            ,    17420, 55.939167 , -3.232222 , Scozia
Ross County                , Ross County          , Dingvall               , Victoria Park                                 ,     6310, 57.595947 , -4.418914 , Scozia
FC Augsburg                , Augsburg             , Augsburg               , SGL arena                                     ,    30660, 48.3225   , 10.882222 , Germania
Bayer Leverkusen           , Leverkusen           , Leverkusen             , BayArena                                      ,    30210, 51.038256 , 7.002206  , Germania
Bayern Munich              , Bayern Munich        , Munich                 , Allianz Arena                                 ,    71000, 48.218775 , 11.624753 , Germania
Borussia Dortmund          , Dortmund             , Dortmund               , Signal Iduna Park                             ,    80645, 51.492569 , 7.451842  , Germania
Borussia Mönchengladbach   , M'gladbach           , Mönchengladbach        , Borussia-Park                                 ,    54010, 51.174583 , 6.385464  , Germania
Eintracht Braunschweig     , Braunschweig         , Braunschweig           , Eintracht-Stadion                             ,    23325, 52.29     , 10.521667 , Germania
Eintracht Frankfurt        , Ein Frankfurt        , Frankfurt              , Commerzbank-Arena                             ,    51500, 50.068572 , 8.645458  , Germania
SC Freiburg                , Freiburg             , Freiburg               , MAGE SOLAR Stadion                            ,    24000, 47.988889 , 7.893056  , Germania
Hamburger SV               , Hamburg              , Hamburg                , Imtech Arena                                  ,    57000, 53.587158 , 9.898617  , Germania
Hannover 96                , Hannover             , Hanover                , HDI-Arena                                     ,    49000, 52.360067 , 9.731197  , Germania
Hertha BSC                 , Hertha               , Berlin                 , Olympiastadion                                ,    74244, 52.514722 , 13.239444 , Germania
TSG 1899 Hoffenheim        , Hoffenheim           , Sinsheim               , Rhein-Neckar Arena                            ,    30150, 49.239008 , 8.888281  , Germania
1. FSV Mainz 05            , Mainz                , Mainz                  , Coface Arena                                  ,    34000, 49.984167 , 8.224167  , Germania
1. FC Nürnberg             , Nurnberg             , Nuremberg              , Grundig-Stadion                               ,    50000, 49.426111 , 11.125833 , Germania
Schalke 04                 , Schalke 04           , Gelsenkirchen          , Veltins-Arena                                 ,    61673, 51.554503 , 7.067589  , Germania
VfB Stuttgart              , Stuttgart            , Stuttgart              , Mercedes-Benz Arena                           ,    60441, 48.792269 , 9.232031  , Germania
Werder Bremen              , Werder Bremen        , Bremen                 , Weserstadion                                  ,    42100, 53.066394 , 8.837628  , Germania
VfL Wolfsburg              , Wolfsburg            , Wolfsburg              , Volkswagen Arena                              ,    30000, 52.431944 , 10.803889 , Germania
Fortuna Düsseldorf         , Fortuna Dusseldorf   , Düsseldorf             , Esprit Arena                                  ,    54600, 51.261667 , 6.733056  , Germania
SpVgg Greuther Fürth       , Greuther Furth       , Fürth                  , Trolli Arena                                  ,    18000, 49.486944 , 10.999167 , Germania
1. FC Kaiserslautern       , Kaiserslautern       , Kaiserslautern         , Fritz-Walter-Stadion                          ,    49780, 49.434722 , 7.776667  , Germania
1. FC Köln                 , FC Koln              , Cologne                , RheinEnergieStadion                           ,    50000, 50.933497 , 6.874997  , Germania
FC St. Pauli               , St Pauli             , Hamburg                , Millerntor-Stadion                            ,    24487, 53.554444 , 9.967778  , Germania
Almería                    , Almeria              , Almería                , Estadio del Mediterráneo                      ,    22000, 36.84     , -2.435278 , Spagna
